WORD	ANG. SPEL.	MEANING	KIND	FOREBEAR	WHENCE	NOTES
slidder		᛫ slippery ᛫ uncertain ᛫ duplicitous ᛫ treacherous ᛫	AJ	slider	ME	
slike		᛫ to smoothen ᛫ to polish ᛫ to flatter ᛫	V	slīke[slīcian]	ME	
slipup		᛫ to err ᛫ to make a mistake ᛫	V	~	NE	
slite		᛫ deterioration ᛫	N	~[slītan]	NE	
slithe	sliþe	᛫ dire ᛫ dangerous perilous ᛫	AJ	slīþe	OE	
slive	slife	᛫ to cut a sliver off something ᛫ to cut ᛫ to slice ᛫	V	~	NE	rhyme: dive
sliver	slifer	᛫ a small slice ᛫ a small fraction of something ᛫	N	~	NE	
sloom		᛫ gentle sleep ᛫	N	~	NE	
sloppy		᛫ messy ᛫	AJ	~	NE	
slot		᛫ a musical clef [ᚹ] ᛫	N	~	NE‹NL/LG	calque: Schlüssel; sleutel
sloth	sloþ	᛫ laziness ᛫	N	~	NE	
slothful	sloþful	᛫ lazy ᛫	AJ	~	NE	
slouch	sluce	᛫ a lubber ᛫ a lout ᛫ a slacker ᛬ to walk in a stooping way ᛫ to pull one's hat or hood into one's face to conceal it ᛫	N᛬V	~	NE	
slough	sluge	᛫ a swamp ᛫ a mire ᛫	N	[slōh]	NE	rhyme: plough
slough 	sluge	᛫ discarded skin ᛬ to shed skin ᛫ to shed ᛫ to discard ᛫	N᛬V	~	NE	rhyme: tough
slowheart	sloƿheart	᛫ bradycardia ᛫	N	slow+heart	NE×2	calque: bradycardia
slur		᛫ an insult ᛬ to insult ᛫	N᛬V	~	NE	
smack		᛫ heroin ᛫	N	~[schmeck]	NE‹HG	
smack		᛫ a taste ᛬ to taste ᛫	N᛬V	~	NE‹NL?	see: smatch ᛫ [OXF]
smack of		᛫ to taste of ᛫ to come across as ᛫	V	~	NE‹NL?	
smackbound	smackbund	᛫ bound to taste or opinion ᛫ subjective ᛫	AJ	smack+bound	NE	
small		᛫ miniature ᛫ diminutive ᛫ petite ᛫ unimportant ᛫	AJ	~	NE	Needful to wend words like 'diminutive'.
smallminded		᛫ petty ᛫ having narrow interests sympathies or outlook ᛫ narrow-minded ᛫	AJ	~	NE	
smart		᛫ pain ᛬ to hurt ᛫ to pain ᛬ sharp ᛫ sharp minded ᛫ intelligent ᛫	N᛬V᛬AJ	~	NE	
smartful		᛫ painful ᛫	AJ	~	NE	
smarting		᛫ suffering ᛫	AJ	~	NE	
smarts		᛫ intelligence ᛫ know-how ᛫ a kind of cunning in a particular field ᛫	N	~	NE	
smatch	smac	᛫ a taste ᛫ a slight trace ᛬ to taste ᛫	N᛬V	smatch&smach&smacchen	NE&ME&ME	see: smack
smatch of	smac	᛫ to taste of ᛫ to come across as ᛫	V	smacchen of	ME	
smatter		᛫ a slight superficial knowledge of subject ᛬ a small amount of something ᛫	N᛬V	~	NE	
smear		᛫ to smear ᛫ to anoint ᛫	V	smear&ismēren	NE&ME	
smearle	smearel	᛫ ointment ᛫ lotion ᛫	N	smēreles	ME	
smeat		᛫ refined ( of gold ) ᛫ refined ( by extension ) ᛫	AJ	smeat/smēte	ME	
smeddum		᛫ powder ( especially fine powder ) ᛫ fine flour ᛫	N	~[smeodoma]	NE	
smeech	smeec	᛫ smoke ᛫ dense vapour ᛬ to emit smoke ᛫ to emit vapor ᛫	V	~	NE	[OXF]
smeek		᛫ to fumigate ᛫	V	~	NE	kin: smoke
smeeth	smeeþ	᛫ to become smooth ᛫ to make smooth ᛫ to expedite [ᚹ] ᛫	V	smethen	ME	kin: smooth
smellbrain		᛫ the rhinencephalon ᛫	N	smellbrain	NE	
smey		᛫ to scrutinize ᛫ to investigate ᛫ to meditate on [ᚾ] ᛫ to ponder [ᚾ] ᛫	V	smēȝen[smeagan]	ME	
smeying		᛫ an investigation ᛫ a study ᛫ an inquiry ᛫	N	smeaȝunge	ME	
smicker		᛫ elegant ᛫ fine ᛫ beautiful ᛫	AJ	~[smiker][smicer]	NE	
smile		᛫ a burrow ᛫ a hollow ᛫ a cuniculus ᛫ a place to creep into ᛫ a smial ( a Hobbit-hole ) ᛫	N	smygel	OE	
smilt		᛫ calm ᛫ serene ᛫ tranquil ᛫ placid ᛫	AJ	smilte&smylte	ME&OE	
smiltness		᛫ calmness ᛫ serenity ᛫ tranquillity ᛫ peace ᛫	N	smyltness	OE	
smit		᛫ to contaminate ᛫ to infect ᛫ to stain ᛫ to tarnish ᛫ to sully ᛫	V	~[smitten][smittian]	NE	
smite		᛫ to strike hard ᛫ to defeat ᛫	V	~	NE	PST: smote ᛫ PTCP: smitten
smith	smiþ	᛫ a worker in metal ᛬ to treat metal by heating hammering and forging it ᛫	N᛬V	smith	NE	
smithe	smiþe	᛫ a smithy ᛫ a blacksmith's workshop ᛫	N	smithe[smiþþe]	ME	
smithy	smiþy	᛫ a forge ᛫ the workshop of a smith ᛫	N	smithy	NE	
smitting		᛫ infectious ᛫ contagious ᛫	AJ	~	NE	
smittle	smittel	᛫ infectious ᛫	AJ	~	NE	Scottish
smock		᛫ a chemise ᛫ a blouse ( especially a long one ) ᛫ a loose overall which protects one's clothes ᛫	N	~	NE	
smoke		᛫ a cigar ᛫ a cigarette ᛫	N	~	NE	
smokestack		᛫ a chimney ᛫	N	~	NE‹(E+N)	
smolt		᛫ lard ᛫	N	smolt[smolt]	ME	
smolt		᛫ serene ᛫ tranquil ᛫	AJ	smolt	ME	
smore		᛫ to suffocate ᛫	V	smore&smorian	NE&OE	
smother	smoþer	᛫ a mass of something that stifles or obscures ᛬ to cover with a suffocating effect ᛫ to braise ( stove-top style ) ᛫	N᛬V	~	NE	[OXF]
smow	smue	᛫ to creep ᛫ to crawl ᛫	V	smūȝen[smūgan]	OE	rhyme: now
snake		᛫ a serpent ᛫	N	~	NE	
snakefear		᛫ ophidiophobia ᛫	N	snake+fear	NE×2	
snapshot	snapscot	᛫ a picture ( especially when taken hastily ) ᛫ a glimpse ᛫ a brief portrayal ᛫	N	~	NE‹(NL+E)	or: shot (for short)
snarch	snarc	᛫ to shrivel ᛫ to dehydrate ᛫	V	snarchen&sneorcan	ME&OE	
snead		᛫ a cut ᛫ a slice ᛫ a morsel ᛬ to cut to pieces ᛫ to slice to shreds ᛫	N᛬V	snead&tọ̄̆snēden	NE&ME	
snead		᛫ the handle of a scythe ᛫	N	snǣd{snēde}	OE	
sneakers		᛫ trainers ᛫	N	~	NE	
sneem		᛫ swiftly ᛫ rapidly ᛫ quickly ᛫ immediately ᛫ at once ᛫	ADV	snēome	OE	
snell		᛫ quick ᛫ fast ᛫ rapid ᛫	AJ	~[snel]	NE	
snid		᛫ an incision ᛫	N	snide	OE	
snide		᛫ counterfeit ᛫	AJ	~	NE	[OXF]
snidiron		᛫ a lancet ᛫	N	snidīsen	OE	means "incision iron"?
snike		᛫ to crawl ᛫ to creep ᛫ to sneak ᛫	V	snīcan	OE	possibly redundant
snit		᛫ a fit of rage ᛫ a tantrum ᛫	N	~	NE‹?	
snite		᛫ a snipe ᛫ a Gallinago gallinago bird ᛫ a Lymnocryptes minima bird ᛫	N	snite[snīte/snyghte]	NE	
snite		᛫ to blow one's nose ᛫ to blow or snuff out a candle ᛫	V	snite&snīten[snȳtan]	NE&ME	
sniter		᛫ a sniper ᛫	N	snite+er	NE×2	"snipe" is Norse
snithe	sniþe	᛫ to cut ᛫ to slice ᛫ to amputate ᛫	V	snithe&snīþan	NE&OE	
snithy	sniþy	᛫ cutting ᛫ sharp ᛫	AJ	~	NE	
snitter		᛫ prudence ᛫ sagacity ᛫	N	snitere&snytro	ME&OE	
snood		᛫ a band ribbon cap or hat for keeping hair in place ᛫	N	~[snōd]	NE	[OXF]
snore		᛫ daughter-in-law ᛫ a sister-in-law ᛫	N	snore&snoru	ME&OE	
snoter		᛫ prudent ᛫ sagacious ᛫	AJ	snoter[snotor]	ME	
snoterly		᛫ wise ᛫ prudent ᛫ philosophical ᛬ wisely ᛫ prudently ᛫ philosophically ᛫	AJ᛬AV	snotorlīc&snotorlīce	OE	
snoterness		᛫ wisdom ᛫ intelligence ᛫ spiritual enlightenment ᛫	N	snoterness	ME	
snoud	snude	᛫ quickly ᛫ swiftly ᛫	AJ᛬AV	snūde	OE	
snowhen	snoƿhen	᛫ a Lagopus bird ( a ptarmigan ) ᛫	N	snow+hen	NE×2	calque: sneeuwhoen; Schneehuhn
snowslide	snoƿslide	᛫ an avalanche ᛫	N	~	NE	[MW]
snowstorm	snoƿstorm	᛫ a blizzard ᛫	N	~	NE	
snowwold	snoƿƿold	᛫ a stretch of taiga ᛫	N	snow+wold	NE	or: snowwood
snug		᛫ trim ᛫ close-fitting ᛫ comfortable ᛫ cozy ᛫ cosy ᛫	AJ	~	NE	
so as to		᛫ in order to ᛫	AV	~	NE	
so say		᛫ according to ᛫	V	~	NE	"They're green, so says John."
soaksome	soaksum	᛫ bibulous ᛫	AJ	soak+some	NE×2	invented by William Barnes
soal		᛫ a dirty pond ᛫ mire ᛫ mud ᛫	N	sol	OE	
Soalmonth	Soalmonþ	᛫ February ᛫	N(P)	Solmonaþ	OE	of note: Sowlegrove
soapapple	soapappel	᛫ a Chlorogalum pomeridianum plant ᛫	N	~	NE	
sodden		᛫ soaked ᛫ saturated with liquid ᛫ having drunk an excessive amount of something ᛫	AJ	~	NE	[OXF]
softshaded	softscaded	᛫ pastel ( of a soft and delicate shade of a colour ) ᛫	AJ	soft+shade+ed	NE×3	
softship	softscip	᛫ a situation marked by ease comfort or convenience ᛫ the opposite of hardship ᛫	N	~	NE	
software	softƿare	᛫ the programs and other operating information used by a computer ᛫	N	~	NE	
sokeman		᛫ one who holds soken rights ᛫	N	~	NE	
soken		᛫ a search ᛫ a search for levying fees and fines ᛫ a district under the jurisdiction of such searches ᛫	N	soke&socn	NE&OE	or: soke
sole		᛫ a rope or a wooden yoke ( especially one used to tether cattle ) ᛫	N	sōl[sāl]	ME	
sole		᛫ to soil ᛫ to dirty ᛫ to sully ᛬ soiled ᛫ dirty ᛫ sullied ᛫	V᛬AJ	sōle&sole[sol]	ME&ME	
solken		᛫ slothful ᛫ indolent ᛫ lazy ᛫	AJ	āsolcen	OE	
some	sum	᛫ -ous (suffix of characterization) ᛫	SUFFIX	~	NE	
somedeal	sumdeal	᛫ partial ᛬ partly ᛫ partially ᛫	AJ᛬AV	somedeal&somedel	NE&ME	
somewhat	sumhƿat	᛫ to a degree ᛫ partially ᛫ quite ᛫	AJ	~	NE	
somewhy	sumhƿy	᛫ for some reason ᛫	AV	~	NE	
sond		᛫ a thing which is sent ᛫ a messenger ᛫ an envoy ᛫ a message ᛫ a serving of food ᛫	N	sond[sand]	ME	
sondsman		᛫ a messenger ᛫	N	sondesman	ME	or: sondman
songbook		᛫ a book of songs ( especially hymns ) ᛫ a collection of songs ᛫ a musical album [ᚹ] ᛫	N	~	NE	
son-of-the-sun	sun-of-þe-sun	᛫ a Fregatidae bird ( a frigatebird ) ᛫	N	~	NE	
sonsdaughter	sonsdaugter	᛫ a paternal granddaughter ᛫	N	son+daughter	NE×2	based on: sunsunu; dohtorsunu
sonson		᛫ a paternal grandson ᛫	N	sunsunu	OE	
sool		᛫ the sun ᛫	N	sōl	OE	
soom		᛫ agreement ᛫ concord ᛫	N	sōme[sōm]	ME	
soom		᛫ united ᛫ unified ᛫	AJ	gesōm	OE	
soon		᛫ music ᛫	N	sōn[I sonus]	OE‹I	
sooncraft		᛫ the art of music ᛫	N	sōncræft	OE‹(I+E)	
sooth	sooþ	᛫ truth ᛫ reality ᛬ real ᛫	N᛬AJ	~	NE	
soothbound	sooþbund	᛫ bound to fact ᛫ objective ᛫	AJ	sooth+bound	NE×2	
soothe	sooþe	᛫ to gently calm ᛫ to relieve or ease pain ᛫ to verify ᛫ to prove ᛫ to confirm ᛫	V	soothe&sōþian	NE&OE	
soother	sooþer	᛫ a pacifier ᛫ a verifier ᛫ a confirmer ᛫	N	soothe&sōþian+er	NE&OE+NE	
soothfast	sooþfast	᛫ real ᛫ actual ᛫ veracious ᛫ genuine ᛫	AJ	soothfast&sōthfast	NE&ME	
soothing	sooþing	᛫ relaxing ᛫ calming ᛫ relieving ᛫ calmative ᛫	AJ	~	NE	
soothless	sooþless	᛫ false ᛫ unreliable ᛫ treacherous ᛫	AJ	~	NE	
soothly	sooþly	᛫ truly ᛫ verily ᛫ actually ᛫ really ᛬ amen ᛫	AV᛬I	~[sōthlī]	NE	
soothquid	sooþcƿid	᛫ a true saying ᛫ a fact ᛫	N	sōþcwide	OE	
soothsaw	sooþsaƿ	᛫ a true saying ᛫ a proverb ᛫ a maxim ᛫	N	sothsau	ME	
soothsawl	sooþsaƿl	᛫ veracious ᛫ truth saying ᛫	AJ	sọ̄thsawel/sọ̄thsagel	ME	
soothsay	sooþsay	᛫ to predict ᛫ to prophesy ᛫	V	~	NE	
soothsayer	sooþsayer	᛫ a prophet ᛫ a prognosticator ᛫ the mantis ᛫	N	~	NE	
soothspel	sooþspel	᛫ a true story ᛫ history ᛫	N	sōþspell	OE	
soothy	sooþy	᛫ sincere ᛫ authentic ᛫ actual ᛫	AJ	sōþlic	OE	
sope		᛫ a small amount of drink ᛫	N	sope[sopa]	ME	
sorely		᛫ very ( usually in a negative sense ) ᛫	AV	~	NE	
sorry		᛫ contrite ᛫	AJ	~	NE	
sotship	sotscip	᛫ folly ᛫	N	sotship	ME	
sough	suge	᛫ a moaning , whistling , or rushing sound like that of wind or water ᛬ to make a sough ᛫	N᛬V	sough&swǒugh[swōgan]	NE&ME	rhyme: plough; tough (American English only?)
sought	sugt	᛫ sickness ᛫	N	sought[suht]	ME	rhyme: pout
soulkind		᛫ spiritual ᛫	AJ	sāwelcund	OE	
soullattew	soullatteƿ	᛫ a psychopomp ( a spirit , deity , or person who guides the souls of the dead to the afterlife ) ᛫	N	soul+lattew	NE×2	equal to: soul-guide
sound	sund	᛫ secure ᛫ healthy ᛫ valid ᛫ safe ᛫	AJ	~	NE	
sound	sund	᛫ the power of swimming ᛫ a narrow inlet ᛫ a strait connecting two wider areas of water ᛫	N	sound&sund	NE&OE	
soundness	sundness	᛫ security ᛫ safety ᛫ robustness ᛫ competence ᛫ reliability ᛫	N	~	NE	
sour	sure	᛫ acid ᛬ acidic ᛫	N	zuur	NL	
sourcole	surecole	᛫ fermented cabbage ᛫ sauerkraut ᛫	N	sour+cole	NE×2	calque: Sauerkraut
sourdock	suredock	᛫ a Rumex acetosa plant ( sorrel ) ᛫	N	~	NE	
soursop	suresop	᛫ the fruit of an Annona muricata tree ᛫ a guanabana ᛫	N	~	NE	
southen	suþen	᛫ from the south ᛫	AV	sūþan	OE	
southern lights	ligts	᛫ the aurora australis ᛫	N	~	NE	
Southumber	Suþumber	᛫ Southumbria ᛫ the Southumbrians ᛫	N(P)	Sūþanhymbre	OE‹(E+C)	
Southumberrich	Suþumberric	᛫ the Kingdom of Southumbria ( Mercia ? ) ᛫	N(P)	Sūþanhymbre rīce	OE‹(E+C+C)	
sow	sue	᛫ to suffer ᛫ to make something suffer ᛫	V	sǒuen	ME	
sow	sue	᛫ an adult female pig ᛫ a siege engine used to shelter wall miners ᛫	N	sow&sǒue	NE&ME	second meaning is a calque of Latin
sowel	soƿel	᛫ a pole ᛫ a post ᛫	N	souel	ME	
sowl	sule	᛫ something eaten with bread , such as meat , pottage , a sauce , etc ᛫ any topping or sauce that goes with bread ᛫	N	sǒuel[sufel]	ME	
spadefish	spadefisc	᛫ a disc-shaped fish ᛫	N	~	NE	
span		᛫ an extent ᛬ to extend ᛫	N᛬V	~	NE	
spane		᛫ to allure ᛫ to lure ᛫ to entice ᛫	V	spanan{forspannen}	OE	
spangle	spangel	᛫ a sequin ᛫	N	~	NE‹NL?	
spar		᛫ a piece of timber used in building ᛫ a rafter ᛫ a beam ᛫ a pole or post used as a weapon or bar ᛬ to lock with a spar ᛫	N᛬V	sparre	ME	
spare		᛫ an extra ᛬ to refrain from killing or hurting ᛬ unoccupied ᛫ extra ᛫	N᛬V᛬AJ	~[spær]	NE	
sparhawk	sparhaƿk	᛫ the Accipiter nisus bird ( Eurasian sparrowhawk ) ᛫	N	sparhauk	ME	
sparling		᛫ an Osmeridae fish ᛫	N	~	NE	
sparlire		᛫ a calf ( of a leg ) ᛫	N	sparlire	ME	
sparstone		᛫ gypsum ᛫ hydrous calcium sulphate ᛫	N	sparrestone[spærstān]	ME	
speakeath	speakeaþ	᛫ a speakeasy ᛫	N	speak+eathe	NE+ME 	calque: speakeasy
speakle	speakel	᛫ talkative ᛫ loquacious ᛫	AJ	sprecol	OE	
speal		᛫ to save ᛫ to reserve ᛫ to refrain from using or consuming ᛫ to relieve ᛫ to spare ᛫	V	spēlen[spelian]	ME	
spearhalf		᛫ the male line of descent ᛫	N	sperehealf	OE	
speck		᛫ a tiny spot ᛫ a tiny stain ᛫ a tiny particle ᛫	N	~	NE	
speechcraft	speeccraft	᛫ skill in speech ᛫ rhetoric ᛫ grammar ( especially spoken grammar as opposed to written ) ᛫	N	~	NE	
speechhouse	speechuse	᛫ an auditorium ᛫	N	sprǣchūs	OE	
speechlore	speeclore	᛫ linguistics ᛫ philology ᛫	N	~	NE	
speechly	speecly	᛫ linguistic ᛫	AJ	speech+ly	NE×2	calque: sprachlich
speed		᛫ success ᛬ to succeed ᛫ to assist ᛫ to accomplish ᛫ to complete ᛫ to hasten ᛫	N᛬V	speed&spẹ̄de&spẹ̄den	NE&ME&ME	found in: godspeed
speedful		᛫ successful ᛫ prosperous ᛫	AJ	spedeful	ME	
speld		᛫ a splinter ᛫ a thin piece of wood used as a torch ᛫ a torch ᛫	N	speld	OE	
spelk		᛫ a splinter ᛬ to splinter ᛫	N᛬V	~	NE	"splinter" is Dutch
spell		᛫ a story ᛫ a narrative ᛫ speech with a magical effect ᛫ a state of enchantment ᛫	N	~[spell]	NE	
spell		᛫ a short period ᛫ a period spent in an activity ᛬ to represent ᛫ to substitute ᛫ to relieve ( to take the place of ) ᛫	N᛬V	spell&spelen&spelian	NE&ME&OE	
spellbind		᛫ to fascinate ᛫ to hold the complete attention of someone as though by magic ᛫	V	~	NE	
spellbinding		᛫ fascinating ᛫ engrossing ᛫	AJ	~	NE	
spellboder		᛫ a messenger ᛫	N	spellboda	OE	
spellbound	spellbund	᛫ fascinated ᛫ entranced ᛫	AJ	~	NE	
speller		᛫ a representative ᛫ a substitute ᛫	N	spala{speliend/spāle}	OE	
spew	speƿ	᛫ vomit ᛫ puke ᛬ to vomit ᛫ to puke ᛫ to discharge violently ᛫	N᛬V	~	NE	
spiderfear		᛫ arachnophobia ᛫	N	spider+fear	NE×2	
spild		᛫ to destroy ᛫	V	spildan	OE	
spill		᛫ to play ᛫ to revel ᛫	N᛬V	spilen&spilian	ME&OE	
spill		᛫ a spill ᛬ to spill ᛫ to waste ᛫	N᛬V	spill&spillan{aspillen}	NE&OE	
spiller		᛫ a player ᛫ a jester ᛫	N	spilere{spillend}	OE	
spilth	spilþ	᛫ spillage ᛫ material that is spilt ᛫	N	~	NE	
spind		᛫ fat ᛫	N	spind	OE	
spindle	spindel	᛫ an axis ᛫	N	~	NE	
spindlehalf	spindelhalf	᛫ the female line of descent ᛫	N	spinlehealf	OE	
spindleshanks	spindelscanks	᛫ a thin lanky person with long legs ᛫	N	~	NE	
spinster		᛫ a woman who spins cloth ᛫ an unmarried woman ( especially one beyond the usual age for marriage ) ᛫	N	~	NE	
spir		᛫ to inquire ᛫ to interrogate ᛫ to investigate through inquiry ᛫ to check for something ᛫	V	spiren[spyrian]	ME	or: speer (Scotland)
spird		᛫ a stadium ᛫ a racetrack ᛫ a racecourse ᛫	N	spyrd	OE	
spirglass		᛫ a telescope ᛫	N	spiren+glass	ME+NE 	calque: spyglass
spit		᛫ a dash ( — ) ᛫ a hyphen ( - ) ᛫	N	~	ANE	
spitbreed		᛫ meat cooked on a spit ᛫ a kebab ᛫	N	spit+brēd	NE+ME	calque: spitroast
spitch	spic	᛫ bacon ᛫	N	spich/spik	ME	kin: speck ᛫ or: spick
spittle	spittel	᛫ saliva ᛫	N	~	NE	
spittle	spittel	᛫ a spadelike tool with two or more prongs ᛫	N	spitel	ME	
spokebone		᛫ a radius ( bone ) ᛫	N	~	NE	or: wandbone
spokesman		᛫ a representative of a group or an individual ᛫	N	~	NE	
spore		᛫ a track ᛫ a trace ᛫ a vestige ᛫	N	spore&spor	ME&OE	
spot		᛫ an area ᛫	N	~	NE	
spow	spoƿ	᛫ to succeed ᛫ to be successful ᛫	V	spōwan	OE	
sprank		᛫ a shoot ᛫ a twig ᛫ a sprig ᛫	N	spranc	OE	
sprat		᛫ a Sprattus fish ᛫	N	~	NE	
sprawl	spraƿl	᛫ a disorganized unattractive expanse ᛬ spread out over a large area in an untidy or irregular way ᛫	N᛬AJ	~[spreawlian]	NE	
sprawling	spraƿling	᛫ expansive ᛫ extensive ᛫	AJ	~	NE	
sprent		᛫ sprinkled over ᛫	AJ	~	NE	
sprind		᛫ vigorous ᛫ active ᛫	AJ	sprind[springd]	ME	
spring from		᛫ to be caused by [ᛏ] ᛫	V	~	NE	
springe	sprincg	᛫ to sprinkle ᛫ to scatter ᛫ to disperse ᛫	V	sprengen	ME	
springly		᛫ vernal ᛫	AJ	~	NE	
spry		᛫ agile ᛫ featly ᛫ gracile ᛫	AJ᛬AV	~	NE	
spur		᛫ an incentive ᛬ to incentivize ᛫	N᛬V	~	NE	
spurn		᛫ to reject with scorn ᛫ to refuse to use ᛫ to kick [ᚩ] ᛫	V	~	NE	
spurrier		᛫ a searcher ᛫ an explorer ᛫ an investigator ᛫ a spy [ᚹ] ᛫	N	āspyrgend	OE	
squeezebox	scƿeesbox	᛫ an accordion ᛫ a concertina ᛫	N	squeeze-box	NE‹(E+H)	colloquial word
squelch	scƿelc	᛫ to squash ᛫ to crush ᛫ to tread and make splashing sounds ᛫	V	~	NE	or: quelch ᛫ first appears in Early Modern English
squidflesh	scƿidflesc	᛫ calamari ᛫	N	squid+flesh	NE	
squirt	scƿirt	᛫ a syringe ᛫ liquid which is spirting ᛬ to spirt out a liquid ᛫	N᛬V	~[scqwyrt]	NE	first appears in Late Middle English
staddle	staddel	᛫ a foundation ᛫ a base ᛫ a prop ᛫ a support ᛬ to base ᛫ to prop ᛫ to support ᛫	N᛬V	~	NE	or: stathel (older)
staddlely	staddely	᛫ fundamental ᛫ basic ᛫	AJ	staddle+y	NE×2	
staddler	staddeller	᛫ a founder ᛫	N	staþoliend	OE	
staff		᛫ a letter ( like A B or C ) ᛫ a written character ᛫	N	staf&stæf	ME&OE	
staffay		᛫ a combination of letters which forms a syllable or a diphthong ᛫	N	stæfgefēg	OE	
staffcraft		᛫ grammar ( as in the art of letters spelling and punctuation ) ᛫	N	stæfcræft	OE	
staffkind		᛫ a font ᛫ a typeface ᛫	N	staff+kind	NE×2	
staffleighter	staffleigter	᛫ a grammatical error ᛫ a typo ᛫	N	stæfleahter	OE	
stafflither	staffliþer	᛫ a ballista ᛫	N	stæfliþere	OE	
stafflore		᛫ orthography ᛫	N	staff+lore	NE×2	
staffly		᛫ literal ᛫ letter-like ᛬ literally ᛫	AJ᛬AV	stafī/staffliȝ[stæflīc]	ME	
staffrow	staffroƿ	᛫ an alphabet ᛫	N	stæfrǣw	OE	
staffwise	staffƿise	᛫ literate ᛫ lettered ᛫	AJ	stæfwīs	OE	
staffword	staffƿord	᛫ an acronym ᛫	N	staf+word	ME+NE	calque: letterwoord
stag		᛫ a male deer ᛫	N	~[stagge]	NE	
stake		᛫ a post ᛫ a post on which a gambling wager is placed ᛫ a wager ᛫ a bet ᛬ to wager ᛫ to bet ᛫	V	stake&stāke	NE&ME	
stal		᛫ klepto- ᛫	PREFIX	stæl	OE	stælhere = thieving army ? stælgiest = thieving ghost ?
stale		᛫ a rung in a ladder ᛫ a position in a series ᛫ a tier ᛫	N	stāle[stalu]	ME	
stalk		᛫ a main stem of something ᛫	N	~	NE	
stalk		᛫ to pursue stealthily ᛫	V	~[stealcung]	NE	
stall		᛫ a position ᛬ to keep in position ᛫ to delay ᛫ to hinder ᛫	N᛬V	stall&steall	NE&OE	
staller		᛫ a marshal ᛫	N	steallere	OE	rare
stalworth	stalƿorþ	᛫ brave ᛫ courageous ᛫	AJ	~	NE	or: stalwart
stand		᛫ to exist ( especially of inanimate things ) ᛫	V	~	NE	
stand for		᛫ to represent ᛫ to symbolize ᛫	V	~	NE	
standalone		᛫ an independent thing ᛬ independent ᛫	N᛬AJ	~	NE	
standin		᛫ a substitute ᛫	N	stand-in	NE	
standing		᛫ status ᛫ a status ᛫ a reputation within a group ᛫	N	~	NE	
standoffish	standoffisc	᛫ anti-social ᛫ unsociable ᛫ socially cold ᛫	AJ	~	NE	
stannel		᛫ a kestrel ᛫	N	~[stāngella]	NE	
staple	stapel	᛫ a bar or wire meant for holding things together through piercing and bending ᛫ a pillar ᛫ a column ᛫ a post ᛫	N	staple&stapol	NE&OE	
star		᛫ an asterisk ( * ) ᛫ a celebrity ᛫	N	~	NE	
stardom		᛫ celebrity ( as in the status ) ᛫	N	~	NE	
stark		᛫ stiff ᛫ rigid ᛫ solid ᛫ strong ᛫ severe ᛫ unpleasantly or sharply clear ᛫ severe or bare in appearance ᛫	AJ	~[stark]	NE	
starken		᛫ to make unbending or inflexible ᛫ to stiffen ᛫ to make obstinate ᛫	V	~	NE	
starly		᛫ astral ᛫	AJ	~	NE	
starship	starscip	᛫ a spaceship ᛫ a spacecraft ᛫	N	~	NE	
starshower	starscoƿer	᛫ an astrologer ᛫	N	steorscēawere	OE	
start		᛫ a tail ᛫	N	stert[steort]	ME	
startail		᛫ a Phaethon bird ( a tropicbird ) ᛫	N	~	NE	also: boatswainbird
startoken		᛫ a constellation ᛫	N	star+token	NE×2	
starving	starfing	᛫ starvation ᛫	N	~	NE	
starwatch	starƿac	᛫ an observatory ᛫	N	star+watch	NE×2	calque: sterrenwacht
stath	staþ	᛫ a bank ᛫ a shore ᛫ land bordering water ᛫ a wharf ᛫	N	stath[stæþ]	ME	"wharf" meaning may be from Norse influence
stave off	stafe	᛫ to prevent ᛫ to avert ᛫ to ward off ᛫ to keep away ᛫	V	~	NE	
stead		᛫ a station ᛫ a place ᛫	N	~	NE	
steadfast		᛫ steady ᛫ unmoving ᛫ loyal ᛫	AJ	~	NE	
steadfastness		᛫ loyalty ᛫	N	~	NE	
steady		᛫ to stabilize ᛫ stable ᛫	V᛬AJ	~	NE	
stealth	stealþ	᛫ acting in secrecy and cautiousness ᛫	N	~	NE	kin: "steal"
stealthy	stealþy	᛫ cautious and surreptitious ᛫	AJ	~	NE	
stean		᛫ an earthenware container for liquids or foods ᛫	N	~	NE	[MW]
steap		᛫ a stoup ᛫ a drinking vessel ᛫ a cup ᛫ a flagon ᛫	N	stēap	OE	"stoup" is Norse
stear		᛫ history ᛫	N	stǣr{ἱστορία}	OE‹I‹H	or: yorelore
stearwit	stearƿit	᛫ a historian ᛫	N	stǣr+wite	OE‹I‹H+ME	or: yorewit
steed		᛫ a horse being ridden or available for riding ᛫	N	~	NE	
steel bow	boƿ	᛫ a crossbow ᛫ an arbalest ᛫	N	~	NE	or: stockbow
steen		᛫ to groan or to rumble or to bellow or to bray loudly ᛫	V	stēnan	OE	
steep		᛫ to imbue ᛫ to soak ᛫ to fill with ᛫	V	~	NE	"a city steeped in history" ᛫ [OXF]
steeple	steepel	᛫ a tower ᛫ a church tower ᛫ a spire ᛫	N	~[stẹ̄pel][stīpel/stēpel]	NE	[OXF]
steer		᛫ guidance ᛫ direction ᛫ a rule ᛫ a regulation ᛫ a restraint ᛫ a check ᛬ to direct ᛫	N᛬V	steor&steoran	OE&OE	
steerer		᛫ a director ᛫ a regulator ᛫ a moderator ᛫	N	steorend	OE	
